loc_code,general_hh_apt_inc,foreign_hh_apt_inc,demolished_apt_inc,natural_demand,internal_invest_demand,avg_trade_price_y3,multi_homeowner_inc_y3,local_buyer_ratio_y3,internal_invest_demand_3yr_wgt_y3,internal_invest_demand_y1,internal_invest_demand_y2,external_invest_demand,absorbed_supply_y3,nonlocal_buyer_ratio_y3,external_invest_demand_3yr_wgt_y3,external_invest_demand_y1,external_invest_demand_y2,total_invest_demand,new_demand_volume,own_hh_apt_move_demand,py_bprice_y3,bprice_threshold_ratio,income_quintile,own_hh_ratio,own_move_plan_yn,rent_hh_apt_move_demand,rent_hh_ratio,rent_move_plan_yn,nonapt_move_demand,nonapt_hh_ratio,nonapt_move_plan_yn,nonapt_price_adj,total_move_demand,single_and_foreign_hh_inc,single_foreign_own_occ_ratio,multi_hh_and_demolished_hh_inc,multi_demolished_own_occ_ratio,hh_increase_demand,unsold_level_ratio,unsold_level_adj_ratio,total_invest_demand_eff,effective_demand,supply_volume_3y,effective_demand_to_supply,supply_demand_grade,base_date
51000,6620,129,8,6758,287,755,3540,0.7,0.5,-11,187,361,1871,0.29,0.5,499,434,649,7407,2530,1377,0.55,0.67,0.74,0.05,1436,0.26,0.2,728,0.76,0.4,0.6,4695,6281,0.3,6628,0.7,4408,0.01,0.6,389,9494,5499,0.57,A,202402
51150,769,22,0,791,40,809,497,0.67,0.5,6,23,30,113,0.32,0.5,40,42,71,862,308,1498,0.55,0.63,0.74,0.05,134,0.26,0.2,71,0.67,0.4,0.6,514,778,0.3,769,0.7,492,0.02,0.4,28,1035,811,0.78,A,202402
51820,34,0,0,35,7,744,116,0.45,0.5,0,7,24,0,0.54,0.5,62,10,31,67,39,1257,0.55,0.72,0.74,0.05,22,0.26,0.2,50,3.39,0.4,0.6,112,28,0.3,34,0.7,23,0,1,31,168,0,0,S,202402
51170,422,-1,0,421,,559,95,0.66,0.5,,,,5,0.33,0.5,,,,,0,0,0.55,0,0.74,0.05,0,0.26,0.2,0,0.5,0.4,0.6,0,459,0.3,422,0.7,0,0,1,,,0,,,202402
51230,56,2,8,68,,548,204,0.69,0.5,,,,-38,0.3,0.5,,,,,0,0,0.55,0,0.74,0.05,0,0.26,0.2,0,1.09,0.4,0.6,0,139,0.3,65,0.7,0,0,1,,,139,,,202402
51210,558,9,0,567,13,834,195,0.59,0.5,4,8,3,-333,0.4,0.5,10,30,16,584,126,1762,0.55,0.5,0.74,0.05,2,0.26,0.2,12,0.4,0.4,0.6,141,510,0.3,558,0.7,272,0.03,0.4,6,421,649,1.54,C,202402
51800,-3,3,0,0,0,570,49,0.74,0.5,0,0,,100,0.25,0.5,,,,,0,0,0.55,0,0.74,0.05,0,0.26,0.2,0,1.99,0.4,0.6,0,10,0.3,-3,0.7,0,0,1,,,0,,,202402
51830,88,2,0,91,8,732,153,0.47,0.5,0,3,14,42,0.52,0.5,11,25,22,113,44,1248,0.55,0.69,0.74,0.05,41,0.26,0.2,38,1.88,0.4,0.6,124,77,0.3,88,0.7,59,0.01,0.6,13,198,93,0.46,S,202402
51750,60,1,0,61,0,577,98,0.68,0.5,0,0,,0,0.31,0.5,,,,,0,0,0.55,0,0.74,0.05,0,0.26,0.2,0,3.04,0.4,0.6,0,71,0.3,60,0.7,0,0,1,,,0,,,202402
51130,3084,51,0,3135,35,727,612,0.73,0.5,-31,11,188,1906,0.26,0.5,287,136,223,3359,881,1308,0.55,0.73,0.74,0.05,519,0.26,0.2,104,0.31,0.4,0.6,1505,2317,0.3,3084,0.7,2102,0.01,0.6,134,3742,2300,0.61,A,202402
