loc_code,general_hh_apt_inc,foreign_hh_apt_inc,demolished_apt_inc,natural_demand,internal_invest_demand,avg_trade_price_y3,multi_homeowner_inc_y3,local_buyer_ratio_y3,internal_invest_demand_3yr_wgt_y3,internal_invest_demand_y1,internal_invest_demand_y2,external_invest_demand,absorbed_supply_y3,nonlocal_buyer_ratio_y3,external_invest_demand_3yr_wgt_y3,external_invest_demand_y1,external_invest_demand_y2,total_invest_demand,new_demand_volume,own_hh_apt_move_demand,py_bprice_y3,bprice_threshold_ratio,income_quintile,own_hh_ratio,own_move_plan_yn,rent_hh_apt_move_demand,rent_hh_ratio,rent_move_plan_yn,nonapt_move_demand,nonapt_hh_ratio,nonapt_move_plan_yn,nonapt_price_adj,total_move_demand,single_and_foreign_hh_inc,single_foreign_own_occ_ratio,multi_hh_and_demolished_hh_inc,multi_demolished_own_occ_ratio,hh_increase_demand,unsold_level_ratio,unsold_level_adj_ratio,total_invest_demand_eff,effective_demand,supply_volume_3y,effective_demand_to_supply,supply_demand_grade,base_date
11000,22853,160,4085,27098,95,4432,623,0.37,0.5,-244,430,3929,15233,0.63,0.5,2493,5167,4024,31122,9003,5131,0.55,0.34,0.74,0.05,1905,0.26,0.2,1743,0.67,0.4,0.6,12651,31550,0.3,-4452,0.7,2158,0.0,1.0,4024,18834,22642,1.2,B,202605
11110,92,5,0,97,,3670,-58,0.29,0.5,,,,0,0.71,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,1.88,0.4,0.6,0,243,0.3,-146,0.7,0,0.0,1.0,,0,0,,C,202605
11140,471,1,14,486,2,3959,21,0.22,0.5,-6,9,43,358,0.78,0.5,0,0,45,531,137,4258,0.55,0.33,0.74,0.05,32,0.26,0.2,23,0.56,0.4,0.6,191,608,0.3,-121,0.7,32,0.0,1.0,45,268,135,0.5,S,202605
11170,-4,-63,10,-57,,6325,-415,0.29,0.5,,,,271,0.71,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,0.94,0.4,0.6,0,313,0.3,-370,0.7,0,0.0,1.0,,0,133,,C,202605
11200,13,0,34,47,-10,5572,-182,0.25,0.5,-8,-4,218,815,0.75,0.5,276,147,209,256,484,7308,0.55,0.42,0.74,0.05,9,0.26,0.2,38,0.32,0.4,0.6,532,751,0.3,-704,0.7,-112,0.0,1.0,209,628,1280,2.04,C,202605
11215,370,7,133,510,,4767,-96,0.35,0.5,,,,34,0.65,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,1.72,0.4,0.6,0,612,0.3,-102,0.7,0,0.0,1.0,,0,638,,C,202605
11230,1063,24,104,1191,14,3068,330,0.27,0.5,-6,18,406,744,0.73,0.5,996,34,421,1612,376,4353,0.55,0.3,0.74,0.05,12,0.26,0.2,50,0.53,0.4,0.6,438,1234,0.3,-43,0.7,102,0.0,1.0,421,960,3728,3.88,C,202605
11260,840,6,50,897,5,2273,105,0.38,0.5,-4,7,66,473,0.62,0.5,0,108,71,968,178,3706,0.55,0.21,0.74,0.05,4,0.26,0.2,43,0.98,0.4,0.6,225,1143,0.3,-245,0.7,36,0.0,1.0,71,331,525,1.58,C,202605
11290,655,7,24,686,4,2767,-103,0.34,0.5,14,9,151,550,0.66,0.5,16,324,155,841,426,4444,0.55,0.32,0.74,0.05,10,0.26,0.2,74,0.7,0.4,0.6,509,1097,0.3,-411,0.7,13,0.0,1.0,155,677,1203,1.78,C,202605
11305,152,20,7,179,,2147,113,0.38,0.5,,,,18,0.62,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,1.74,0.4,0.6,0,601,0.3,-421,0.7,0,0.0,1.0,,0,97,,C,202605
