loc_code,general_hh_apt_inc,foreign_hh_apt_inc,demolished_apt_inc,natural_demand,internal_invest_demand,avg_trade_price_y3,multi_homeowner_inc_y3,local_buyer_ratio_y3,internal_invest_demand_3yr_wgt_y3,internal_invest_demand_y1,internal_invest_demand_y2,external_invest_demand,absorbed_supply_y3,nonlocal_buyer_ratio_y3,external_invest_demand_3yr_wgt_y3,external_invest_demand_y1,external_invest_demand_y2,total_invest_demand,new_demand_volume,own_hh_apt_move_demand,py_bprice_y3,bprice_threshold_ratio,income_quintile,own_hh_ratio,own_move_plan_yn,rent_hh_apt_move_demand,rent_hh_ratio,rent_move_plan_yn,nonapt_move_demand,nonapt_hh_ratio,nonapt_move_plan_yn,nonapt_price_adj,total_move_demand,single_and_foreign_hh_inc,single_foreign_own_occ_ratio,multi_hh_and_demolished_hh_inc,multi_demolished_own_occ_ratio,hh_increase_demand,unsold_level_ratio,unsold_level_adj_ratio,total_invest_demand_eff,effective_demand,supply_volume_3y,effective_demand_to_supply,supply_demand_grade,base_date
11000,22853,160,4085,27098,99,4559,623,0.37,0.5,-252,448,4075,15233,0.63,0.5,2578,5376,4174,31272,9506,5131,0.55,0.34,0.74,0.05,1889,0.26,0.2,1821,0.67,0.4,0.6,13216,31550,0.3,-4452,0.7,2158,0.0,1.0,4174,19548,22642,1.16,B,202607
11110,92,5,0,97,,3751,-58,0.29,0.5,,,,0,0.71,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,1.88,0.4,0.6,0,243,0.3,-146,0.7,0,0.0,1.0,,0,0,,C,202607
11140,471,1,14,486,2,4117,21,0.22,0.5,-6,9,45,358,0.78,0.5,0,0,47,533,136,4258,0.55,0.33,0.74,0.05,30,0.26,0.2,23,0.56,0.4,0.6,189,608,0.3,-121,0.7,32,0.0,1.0,47,268,135,0.5,S,202607
11170,-4,-63,10,-57,,6529,-415,0.29,0.5,,,,271,0.71,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,0.94,0.4,0.6,0,313,0.3,-370,0.7,0,0.0,1.0,,0,133,,C,202607
11200,13,0,34,47,-10,5800,-182,0.25,0.5,-9,-4,230,815,0.75,0.5,293,155,220,267,613,7308,0.55,0.42,0.74,0.05,12,0.26,0.2,49,0.32,0.4,0.6,673,751,0.3,-704,0.7,-112,0.0,1.0,220,780,1280,1.64,C,202607
11215,370,7,133,510,,4968,-96,0.35,0.5,,,,34,0.65,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,1.72,0.4,0.6,0,612,0.3,-102,0.7,0,0.0,1.0,,0,638,,C,202607
11230,1063,24,104,1191,15,3214,330,0.27,0.5,-7,18,420,744,0.73,0.5,1023,35,435,1626,407,4353,0.55,0.3,0.74,0.05,12,0.26,0.2,54,0.53,0.4,0.6,473,1234,0.3,-43,0.7,102,0.0,1.0,435,1009,3728,3.69,C,202607
11260,840,6,50,897,5,2322,105,0.38,0.5,-4,7,67,473,0.62,0.5,0,110,73,970,166,3706,0.55,0.21,0.74,0.05,12,0.26,0.2,42,0.98,0.4,0.6,220,1143,0.3,-245,0.7,36,0.0,1.0,73,328,525,1.6,C,202607
11290,655,7,24,686,4,2883,-103,0.34,0.5,14,9,156,550,0.66,0.5,16,335,160,846,478,4444,0.55,0.32,0.74,0.05,14,0.26,0.2,83,0.7,0.4,0.6,575,1097,0.3,-411,0.7,13,0.0,1.0,160,749,1203,1.61,C,202607
11305,152,20,7,179,,2205,113,0.38,0.5,,,,18,0.62,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,1.74,0.4,0.6,0,601,0.3,-421,0.7,0,0.0,1.0,,0,97,,C,202607
11320,296,9,58,362,,2060,179,0.54,0.5,,,,-12,0.46,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,0.65,0.4,0.6,0,1061,0.3,-699,0.7,0,0.0,1.0,,0,100,,C,202607
11350,656,21,0,677,5,2528,-14,0.45,0.5,-5,22,84,0,0.55,0.5,0,252,89,766,435,4070,0.55,0.27,0.74,0.05,18,0.26,0.2,16,0.15,0.4,0.6,469,2176,0.3,-1499,0.7,-107,0.0,1.0,89,451,893,1.98,C,202607
11380,920,1,114,1035,-7,2656,-323,0.42,0.5,-5,23,184,2431,0.58,0.5,96,46,177,1212,279,4557,0.55,0.27,0.74,0.05,11,0.26,0.2,94,1.35,0.4,0.6,384,1182,0.3,-147,0.7,68,0.0,1.0,177,629,1419,2.26,C,202607
11410,758,22,25,805,,3390,120,0.29,0.5,,,,-18,0.71,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,0.8,0.4,0.6,0,861,0.3,-56,0.7,0,0.0,1.0,,0,446,,C,202607
11440,953,9,131,1093,4,4933,146,0.32,0.5,-12,-2,129,131,0.68,0.5,95,243,133,1226,651,4539,0.55,0.38,0.74,0.05,187,0.26,0.2,137,0.68,0.4,0.6,975,1224,0.3,-131,0.7,105,0.0,1.0,133,1213,693,0.57,A,202607
11470,654,-4,31,681,,4607,182,0.46,0.5,,,,128,0.54,0.5,,,,,0,,0.55,0.0,0.74,0.05,0,0.26,0.2,0,0.58,0.4,0.6,0,1224,0.3,-543,0.7,0,0.0,1.0,,0,49,,C,202607
11500,1431,1,197,1630,6,3156,33,0.47,0.5,-27,40,55,248,0.53,0.5,15,103,61,1691,436,4466,0.55,0.26,0.74,0.05,15,0.26,0.2,76,0.7,0.4,0.6,528,2465,0.3,-835,0.7,40,0.0,1.0,61,629,488,0.78,A,202607
11530,1064,5,49,1118,-2,2552,-18,0.38,0.5,-13,10,90,950,0.62,0.5,34,38,88,1206,348,3803,0.55,0.27,0.74,0.05,32,0.26,0.2,53,0.59,0.4,0.6,433,1441,0.3,-323,0.7,56,0.0,1.0,88,576,552,0.96,A,202607
11545,791,-2,0,789,-1,2152,5,0.51,0.5,-11,7,8,3,0.49,0.5,-1,25,7,796,156,2937,0.55,0.3,0.74,0.05,64,0.26,0.2,61,1.16,0.4,0.6,280,948,0.3,-160,0.7,52,0.0,1.0,7,340,73,0.21,S,202607
