loc_code,general_hh_inc_y1,general_hh_inc_y2,general_hh_inc_y3,general_hh_inc_y4,general_hh_inc_y5,single_hh_inc_y1,single_hh_inc_y2,single_hh_inc_y3,single_hh_inc_y4,single_hh_inc_y5,general_hh_ratio_y1,general_hh_ratio_y2,general_hh_ratio_y3,general_hh_ratio_y4,general_hh_ratio_y5,foreign_hh_inc_y1,foreign_hh_inc_y2,foreign_hh_inc_y3,foreign_hh_inc_y4,foreign_hh_inc_y5,foreign_hh_ratio_y1,foreign_hh_ratio_y2,foreign_hh_ratio_y3,foreign_hh_ratio_y4,foreign_hh_ratio_y5,demolished_apt_y1,demolished_apt_y2,demolished_apt_y3,demolished_apt_y4,demolished_apt_y5,general_household_apt,foreign_household_apt,demolished_apt_avg,natural_demand,multi_homeowner_inc_y1,multi_homeowner_inc_y2,multi_homeowner_inc_y3,local_buyer_ratio_y1,local_buyer_ratio_y2,local_buyer_ratio_y3,adj_price_y1,adj_price_y2,adj_price_y3,absorbed_supply_y1,absorbed_supply_y2,absorbed_supply_y3,nonlocal_buyer_ratio_y1,nonlocal_buyer_ratio_y2,nonlocal_buyer_ratio_y3,internal_invest_demand_3yr_wgt_y1,internal_invest_demand_3yr_wgt_y2,internal_invest_demand_3yr_wgt_y3,internal_investment_demand,external_investment_demand,investment_demand,single_and_foreign_hh_inc,single_foreign_own_occ_ratio,income_quintile,single_foreign_hh_growth_effective_demand,multi_hh_and_demolished_hh_inc,multi_demolished_own_occ_ratio,non_single_demolished_hh_growth_effective_demand,natural_apt_effective_demand,mibun_y4,unsold_level_adj_ratio,unsold_level_adj_invest_demand,apt_hh_over_threshold_mm,apt_hh_over_threshold_js,exclusive_area_upper_limit,own_hh_ratio,own_move_plan_yn,apt_owner_hh,rent_hh_ratio,rent_move_plan_yn,apt_renter_hh,nonapt_hh_ratio,nonapt_move_plan_yn,nonapt_price_adj,nonapt_move_demand,total_move_demand,general_hh_y1,general_hh_y2,general_hh_y3,general_hh_y4,general_hh_y5,general_hh_y6,single_hh_y1,single_hh_y2,single_hh_y3,single_hh_y4,single_hh_y5,single_hh_y6,general_hh_apt_inc_y1,general_hh_apt_inc_y2,general_hh_apt_inc_y3,general_hh_apt_inc_y4,general_hh_apt_inc_y5,general_hh_apt_inc_AVG,single_hh_apt_inc_y1,single_hh_apt_inc_y2,single_hh_apt_inc_y3,single_hh_apt_inc_y4,single_hh_apt_inc_y5,single_hh_apt_inc_AVG,general_hh_apt_demand_y1,general_hh_apt_demand_y2,general_hh_apt_demand_y3,general_hh_apt_demand_y4,general_hh_apt_demand_y5,general_hh_apt_inc,foreign_hh_y1,foreign_hh_y2,foreign_hh_y3,foreign_hh_y4,foreign_hh_y5,foreign_hh_y6,foreign_hh_apt_inc_y1,foreign_hh_apt_inc_y2,foreign_hh_apt_inc_y3,foreign_hh_apt_inc_y4,foreign_hh_apt_inc_y5,foreign_hh_apt_inc,demolished_apt_inc,multi_homeowner_y1,multi_homeowner_y2,multi_homeowner_y3,multi_homeowner_y4,avg_trade_price_y1,avg_trade_price_y2,avg_trade_price_y3,py_bprice_y1,py_bprice_y2,py_bprice_y3,internal_invest_demand_y1,internal_invest_demand_y2,internal_invest_demand_y3,internal_invest_demand,bqty_y1,bqty_y2,bqty_y3,mibun_y1,mibun_y2,mibun_y3,b_p_mi_y1,b_p_mi_y2,b_p_mi_y3,external_invest_demand_3yr_wgt_y1,external_invest_demand_3yr_wgt_y2,external_invest_demand_3yr_wgt_y3,external_invest_demand_y1,external_invest_demand_y2,external_invest_demand_y3,external_invest_demand,total_invest_demand,new_demand_volume,py_bprice_y3_34py,bprice_threshold_ratio,own_hh_apt_move_demand,py_bprice_y3_34py2,py_bprice_y3_34py2_55,rent_hh_apt_move_demand,apt_hh_ratio,sp_hh_ratio,mf_hh_ratio,nonapt_adj,interest_rate,repayment_y,LTV,DTI,py_bprice_y3*34,loan_level,monthly_repayment,annual_income,income_15_20m,income_20_25m,income_25_30m,income_30_40m,income_40_50m,income_50_60m,income_60_70m,income_70_100m,income_100m_over,single_and_foreign_demand,multi_and_demolished_demand,hh_increase_demand,internal_invest_demand2,external_invest_demand2,house_qty,mibun_y4_2,unsold_level_ratio,total_invest_demand_eff,effective_demand,supply_volume_3y,effective_demand_to_supply,demand_supply_grade,today
11000,-5013.0,-34683.0,-22275.0,-20452.0,-15490.0,90914.0,99192.0,74294.0,63293.0,33333.0,0.43,0.43,0.44,0.44,0.44,-3270.0,-52.0,8975.0,3476.0,2760.0,0.08,0.08,0.07,0.07,0.07,2358,1156,7440,8963,506,22853,160,4085,27098,-3550,3534,623,0.39,0.41,0.37,0.91,1.03,0.89,23219,29489,15233,0.61,0.59,0.63,0.2,0.3,0.5,298,12224,12522,31549.88,0.3,0.34,3218,-4452.35,0.7,-1060,2158,939,1.0,939.0,755627,106844,110,0.74,0.05,9506,0.26,0.2,1889,0.67,0.4,0.6,1832,13227,3896389.0,3982290.0,4046799.0,4098818.0,4141659.0,4159502.0,1299787.0,1390701.0,1489893.0,1564187.0,1627480.0,1660813.0,-2155.59,-14913.69,-9801.0,-8998.88,-6815.6,-8536.95,39093.02,42652.56,32689.36,27848.92,14666.52,31390.08,36937.43,27738.87,22888.36,18850.04,7850.92,22853.12,145240.0,141970.0,141918.0,150893.0,154369.0,157129.0,-261.6,-4.16,628.25,243.32,193.2,159.8,4084.6,371219,367669,371203,371826,4260.88,4424.48,4559.37,4665.12,4312.27,5131.04,-251.98,447.72,102.58,99.44,23224,29488,15215,953,958,957,24177,30446,16172,0.2,0.3,0.5,2577.77,5376.14,4270.57,4074.83,4174.27,31271.79,174500.0,0.55,9505.79,174500.0,95975.0,1889.0,0.59,0.1,0.3,7587.44,0.04,30.0,0.6,0.4,174000.0,104700.0,-499.85,15000.0,7216.0,18713.0,184091.0,297339.0,204380.0,172340.0,167323.0,415434.0,758499.0,3218.09,-1059.66,2158.43,99.44,4074.83,2856584,939,0.0003287142965163986075676402304,4174.27,19548.48,22642.33,1.16,B,202607
11110,-550.0,-755.0,-678.0,-825.0,-309.0,1312.0,1325.0,1116.0,910.0,445.0,0.23,0.23,0.23,0.24,0.24,-345.0,-92.0,842.0,310.0,-109.0,0.06,0.06,0.05,0.06,0.07,0,0,0,0,0,92,5,0,97,-171,34,-58,0.34,0.35,0.29,,,,0,0,0,0.66,0.65,0.71,0.2,0.3,0.5,,,,243.05,0.3,0.0,0,-145.65,0.7,0,0,0,1.0,0.0,0,0,110,0.74,0.05,0,0.26,0.2,0,1.88,0.4,0.6,0,0,62652.0,63414.0,63984.0,64422.0,64507.0,64643.0,24671.0,25983.0,27308.0,28424.0,29334.0,29779.0,-126.5,-173.65,-155.94,-198.0,-74.16,-145.65,301.76,304.75,256.68,218.4,106.8,237.68,175.26,131.1,100.74,20.4,32.64,92.03,4885.0,4540.0,4448.0,5290.0,5600.0,5491.0,-20.7,-5.52,42.1,18.6,-7.63,5.37,0.0,7550,7379,7413,7355,3578.53,3670.02,3750.71,,,,,,,,0,0,0,0,0,0,0,0,0,0.2,0.3,0.5,,,,,,,,0.55,0.0,,,0.0,0.34,0.25,0.39,0.0,0.04,30.0,0.6,0.4,,,,,95.0,243.0,2095.0,3640.0,2592.0,1964.0,1824.0,4337.0,7758.0,0.0,-0.0,0.0,,,34742,0,0,,0.0,0.0,,C,202607
11140,-143.0,-703.0,-559.0,-41.0,-91.0,740.0,1726.0,703.0,3046.0,675.0,0.44,0.44,0.44,0.44,0.44,-218.0,249.0,402.0,-292.0,-113.0,0.13,0.13,0.12,0.11,0.12,0,0,69,0,0,471,1,14,486,-109,138,21,0.3,0.24,0.22,0.89,0.93,0.97,-1,2,358,0.7,0.76,0.78,0.2,0.3,0.5,6,136,142,607.64,0.3,0.33,60,-121.46,0.7,-28,32,47,1.0,47.0,11159,1775,110,0.74,0.05,136,0.26,0.2,30,0.56,0.4,0.6,22,188,54496.0,55093.0,56116.0,56260.0,59265.0,59849.0,22078.0,22818.0,24544.0,25247.0,28293.0,28968.0,-62.92,-309.32,-245.96,-18.04,-40.04,-135.26,325.6,759.44,309.32,1340.24,297.0,606.32,262.68,450.12,63.36,1322.2,256.96,471.06,4846.0,4628.0,4877.0,5279.0,4987.0,4874.0,-28.34,32.37,48.24,-32.12,-13.56,1.32,13.8,5088,4979,5117,5138,3781.71,3958.61,4116.77,4257.91,4257.91,4257.91,-5.82,9.24,2.24,1.89,0,0,404,2,3,1,2,3,405,0.2,0.3,0.5,-0.12,0.42,135.43,45.24,47.13,533.31,144800.0,0.55,136.25,144800.0,79640.0,30.46,0.63,0.13,0.22,93.9,0.04,30.0,0.6,0.4,145000.0,86900.0,-414.87,12480.0,95.0,221.0,2265.0,3757.0,2767.0,2053.0,1947.0,4640.0,8648.0,60.16,-28.06,32.1,1.89,45.24,38057,47,0.001234989620831910029692303650,47.13,268.48,134.67,0.5,S,202607
11170,804.0,-1114.0,-673.0,-1206.0,-2794.0,1733.0,2389.0,2167.0,1045.0,-2037.0,0.36,0.36,0.37,0.37,0.39,-892.0,-70.0,-146.0,19.0,-592.0,0.19,0.2,0.18,0.17,0.18,0,0,48,0,0,-4,-63,10,-57,-97,61,-415,0.31,0.3,0.29,,,,83,45,271,0.69,0.7,0.71,0.2,0.3,0.5,,,,312.97,0.3,0.0,0,-369.7,0.7,0,0,1,1.0,1.0,0,0,110,0.74,0.05,0,0.26,0.2,0,0.94,0.4,0.6,0,0,93177.0,95714.0,96989.0,98483.0,98322.0,93491.0,35148.0,36881.0,39270.0,41437.0,42482.0,40445.0,289.44,-401.04,-249.01,-446.22,-1089.66,-379.3,623.88,860.04,801.79,386.65,-794.43,375.59,913.32,459.0,552.78,-59.57,-1884.09,-3.71,6520.0,5628.0,5558.0,5412.0,5431.0,4839.0,-169.48,-14.0,-26.28,3.23,-106.56,-62.62,9.6,9853,9756,9817,9402,6097.27,6328.16,6528.66,,,,,,,,110,21,269,0,27,3,110,48,272,0.2,0.3,0.5,,,,,,,,0.55,0.0,,,0.0,0.51,0.18,0.3,0.0,0.04,30.0,0.6,0.4,,,,,120.0,282.0,2319.0,4722.0,3986.0,3024.0,2870.0,7199.0,18771.0,0.0,-0.0,0.0,,,64179,1,0.00001558142071394069711276274171,,0.0,133.33,,C,202607
11200,-1681.0,-1791.0,-1485.0,-1312.0,-561.0,1097.0,2361.0,1602.0,1563.0,331.0,0.54,0.54,0.54,0.54,0.54,-305.0,206.0,232.0,-85.0,-84.0,0.09,0.09,0.09,0.08,0.08,0,0,0,170,0,13,0,34,47,-152,-61,-182,0.29,0.29,0.25,1.0,0.76,0.79,2066,958,815,0.71,0.71,0.75,0.2,0.3,0.5,-31,690,659,750.72,0.3,0.42,95,-703.64,0.7,-207,-112,0,1.0,0.0,39424,531,110,0.74,0.05,613,0.26,0.2,12,0.32,0.4,0.6,48,673,122770.0,122186.0,122756.0,122873.0,123124.0,122894.0,41488.0,42585.0,44946.0,46548.0,48111.0,48442.0,-907.74,-967.14,-801.9,-708.48,-302.94,-737.64,592.38,1274.94,865.08,844.02,178.74,751.03,-315.36,307.8,63.18,135.54,-124.2,13.39,4708.0,4403.0,4609.0,4841.0,4756.0,4672.0,-27.45,18.54,20.88,-6.8,-6.72,-0.31,34.0,11762,11610,11549,11367,5260.12,5571.91,5799.83,5271.01,7307.75,7307.75,-8.82,-4.03,-17.97,-10.27,2066,958,815,0,0,0,2066,958,815,0.2,0.3,0.5,293.37,155.08,241.44,229.96,219.69,266.77,248500.0,0.55,612.65,248500.0,136675.0,11.6,0.75,0.11,0.14,202.88,0.04,30.0,0.6,0.4,248000.0,149100.0,-711.83,21360.0,146.0,417.0,4406.0,7423.0,5558.0,4733.0,4763.0,12203.0,28246.0,94.59,-206.87,-112.28,-10.27,229.96,80980,0,0,219.69,780.35,1279.67,1.64,C,202607
11215,-1402.0,-1967.0,-750.0,-419.0,-977.0,3587.0,3839.0,3251.0,2568.0,974.0,0.21,0.21,0.21,0.22,0.22,95.0,-24.0,753.0,638.0,401.0,0.02,0.02,0.02,0.02,0.02,112,0,0,551,0,370,7,133,510,0,231,-96,0.38,0.38,0.35,,,,1028,804,34,0.62,0.62,0.65,0.2,0.3,0.5,,,,611.73,0.3,0.0,0,-101.82,0.7,0,0,52,1.0,52.0,0,0,110,0.74,0.05,0,0.26,0.2,0,1.72,0.4,0.6,0,0,149905.0,152090.0,153962.0,156463.0,158612.0,158609.0,58714.0,62301.0,66140.0,69391.0,71959.0,72933.0,-294.42,-413.07,-157.5,-92.18,-214.94,-234.42,753.27,806.19,682.71,564.96,214.28,604.28,458.85,393.12,525.21,472.78,-0.66,369.86,8681.0,8776.0,8752.0,9505.0,10143.0,10544.0,1.9,-0.48,15.06,12.76,8.02,7.45,132.6,12428,12428,12659,12563,4530.98,4766.9,4967.83,,,,,,,,1063,823,29,3,38,57,1066,861,86,0.2,0.3,0.5,,,,,,,,0.55,0.0,,,0.0,0.36,0.16,0.46,0.0,0.04,30.0,0.6,0.4,,,,,218.0,561.0,4716.0,8709.0,6012.0,4857.0,4724.0,11520.0,20987.0,0.0,-0.0,0.0,,,79493,52,0.0006541456480444819040670247695,,0.0,638.33,,C,202607
11230,-749.0,-1492.0,-213.0,755.0,-86.0,2773.0,4365.0,2879.0,2790.0,1396.0,0.42,0.42,0.42,0.44,0.44,-792.0,528.0,1828.0,677.0,98.0,0.05,0.06,0.05,0.05,0.05,0,0,0,293,228,1063,24,104,1191,-134,243,330,0.33,0.35,0.27,0.75,0.72,0.74,10179,250,744,0.67,0.65,0.73,0.2,0.3,0.5,45,1259,1304,1234.25,0.3,0.3,111,-43.06,0.7,-9,102,61,1.0,61.0,36673,765,110,0.74,0.05,407,0.26,0.2,12,0.53,0.4,0.6,53,472,148349.0,150373.0,153246.0,155912.0,159457.0,160767.0,58152.0,60925.0,65290.0,68169.0,70959.0,72355.0,-314.58,-626.64,-89.46,332.2,-37.84,-147.26,1164.66,1833.3,1209.18,1227.6,614.24,1209.8,850.08,1206.66,1119.72,1559.8,576.4,1062.53,9187.0,8395.0,8923.0,10751.0,11428.0,11526.0,-39.6,31.68,91.4,33.85,4.9,24.45,104.2,12135,12001,12244,12574,2945.35,3067.98,3213.95,3928.94,4282.15,4353.03,-6.63,18.37,32.97,14.9,10303,246,635,50,174,170,10353,420,805,0.2,0.3,0.5,1022.99,35.1,200.95,419.68,434.58,1625.76,148000.0,0.55,407.07,148000.0,81400.0,11.93,0.64,0.15,0.19,223.78,0.04,30.0,0.6,0.4,148000.0,88800.0,-423.94,12720.0,260.0,661.0,7126.0,11156.0,7409.0,6151.0,6123.0,15068.0,22643.0,111.08,-9.04,102.04,14.9,419.68,93255,61,0.0006541204224974532196665058174,434.58,1009.33,3728.0,3.69,C,202607
11260,-353.0,-1454.0,-563.0,-1293.0,-740.0,4409.0,3882.0,3847.0,2572.0,2243.0,0.33,0.33,0.34,0.34,0.34,144.0,-42.0,121.0,157.0,367.0,0.04,0.03,0.04,0.05,0.04,0,0,0,252,0,840,6,50,896,-70,72,105,0.42,0.48,0.38,0.64,0.64,0.63,0,1101,473,0.58,0.52,0.62,0.2,0.3,0.5,15,202,217,1142.59,0.3,0.21,72,-245.39,0.7,-36,36,0,1.0,0.0,21325,1098,110,0.74,0.05,166,0.26,0.2,12,0.98,0.4,0.6,42,220,160776.0,164832.0,167260.0,170544.0,171823.0,173326.0,52196.0,56605.0,60487.0,64334.0,66906.0,69149.0,-116.49,-479.82,-191.42,-439.62,-251.6,-295.79,1454.97,1281.06,1307.98,874.48,762.62,1136.22,1338.48,801.24,1116.56,434.86,511.02,840.43,2592.0,2736.0,2694.0,2815.0,2972.0,3339.0,5.76,-1.26,4.84,7.85,14.68,6.37,50.4,11119,11049,11121,11226,2243.36,2273.38,2322.11,3529.19,3574.52,3705.81,-3.76,6.64,12.57,5.15,0,1101,473,0,0,0,0,1101,473,0.2,0.3,0.5,0.0,109.92,92.38,67.43,72.58,969.78,126000.0,0.55,165.7,126000.0,69300.0,11.99,0.5,0.15,0.34,174.34,0.04,30.0,0.6,0.4,126000.0,75600.0,-360.93,10800.0,419.0,1031.0,9517.0,14668.0,9202.0,7772.0,7485.0,17163.0,17993.0,71.98,-36.07,35.91,5.15,67.43,101769,0,0,72.58,328.02,524.67,1.6,C,202607
11290,-747.0,-1308.0,-92.0,-1494.0,-1258.0,3678.0,3475.0,2237.0,1926.0,1082.0,0.43,0.44,0.44,0.45,0.45,-684.0,176.0,1147.0,203.0,168.0,0.05,0.05,0.04,0.04,0.04,18,0,104,0,0,655,7,24,686,245,119,-103,0.42,0.4,0.34,0.7,0.65,0.65,199,2860,550,0.58,0.6,0.66,0.2,0.3,0.5,12,469,481,1096.74,0.3,0.32,105,-410.72,0.7,-92,13,0,1.0,0.0,40400,813,110,0.74,0.05,478,0.26,0.2,14,0.7,0.4,0.6,83,575,176729.0,179660.0,181827.0,183972.0,184404.0,184228.0,57832.0,61510.0,64985.0,67222.0,69148.0,70230.0,-321.21,-575.52,-40.48,-672.3,-566.1,-435.12,1581.54,1529.0,984.28,866.7,486.9,1089.68,1260.33,953.48,943.8,194.4,-79.2,654.56,5703.0,5019.0,5195.0,6342.0,6545.0,6713.0,-34.2,8.8,45.88,8.12,6.72,7.06,24.4,17007,17252,17371,17268,2672.12,2767.04,2882.96,3837.72,4232.09,4443.69,14.41,9.28,-11.38,4.1,199,2860,550,0,0,0,199,2860,550,0.2,0.3,0.5,16.16,334.62,117.98,156.25,160.35,846.37,151100.0,0.55,478.34,151100.0,83105.0,13.53,0.58,0.15,0.26,345.9,0.04,30.0,0.6,0.4,151000.0,90700.0,-433.02,12960.0,326.0,844.0,8328.0,13072.0,9142.0,7768.0,7702.0,19654.0,31638.0,105.29,-92.0,13.29,4.1,156.25,121699,0,0,160.35,748.53,1203.0,1.61,C,202607
11305,-1101.0,-2219.0,-1760.0,-1437.0,-1480.0,2894.0,2743.0,2706.0,1525.0,1046.0,0.26,0.26,0.27,0.27,0.28,-70.0,30.0,465.0,483.0,471.0,0.04,0.04,0.09,0.07,0.06,0,0,35,0,0,152,20,7,179,-69,117,113,0.31,0.41,0.38,,,,392,61,18,0.69,0.59,0.62,0.2,0.3,0.5,,,,600.63,0.3,0.0,0,-421.16,0.7,0,0,48,1.0,48.0,0,0,110,0.74,0.05,0,0.26,0.2,0,1.74,0.4,0.6,0,0,128012.0,129805.0,130329.0,131275.0,131363.0,130929.0,42791.0,45685.0,48428.0,51134.0,52659.0,53705.0,-286.26,-576.94,-475.2,-387.99,-414.4,-428.16,752.44,713.18,730.62,411.75,292.88,580.17,466.18,136.24,255.42,23.76,-121.52,152.02,2077.0,2007.0,2037.0,2502.0,2985.0,3456.0,-2.8,1.2,41.85,33.81,28.26,20.46,7.0,8867,8798,8915,9028,2118.07,2148.41,2204.74,,,,,,,,292,0,0,227,127,66,519,127,66,0.2,0.3,0.5,,,,,,,,0.55,0.0,,,0.0,0.36,0.17,0.45,0.0,0.04,30.0,0.6,0.4,,,,,364.0,889.0,9157.0,11528.0,6602.0,5815.0,5336.0,11379.0,11389.0,0.0,-0.0,0.0,,,83865,48,0.0005723484170989089608299052048,,0.0,97.33,,C,202607
